,Unnamed: 0,id,name,state,city,latitude,longitude,license_type,address,rating,reviews_count,zip_code,web_url,retailer_services,phone,adult_use_cultivation,adult_use_nonstorefront,adult_use_retail,distributor,medical_cultivation,medical_nonstorefront,medical_retail,microbusiness
99,99,44558,Premier Budz - Vallejo,CA,Vallejo,38.105096,-122.25485400000001,medical,,5.0,13,94590,https://weedmaps.com/deliveries/premier-budz-vallejo,delivery,(408) 444-0898,,,,,,,,
108,108,2243,Triple C Collective,CA,Clearlake,38.9552299,-122.64705020000001,medical,14196 Lakeshore Dr,3.0,55,95422,https://weedmaps.com/dispensaries/triple-c-collective,storefront,707-701-4160,,,A10180000114,,,,M10180000412,
109,109,43964,Roze City,CA,PASADENA,34.140204,-118.07368500000001,recreational,365 South Rosemead Blvd,4.0,3651,91107,https://weedmaps.com/dispensaries/nhc-natural-health,storefront,(626) 460-2129,,,,,,,,
110,110,54926,Univerde,CA,Covina,34.106742,-117.859427,medical,Call for Address,4.0,3863,91724,https://weedmaps.com/dispensaries/univerde,storefront,562-565-9749,,,,,,,,
111,111,55520,Love Faith and Unity,CA,Bloomington,34.037822999999996,-117.39583300000001,medical,11923 Cedar Ave,4.0,7233,92316,https://weedmaps.com/dispensaries/love-faith-and-unity,storefront,909-347-5771,,,,,,,,
112,112,54791,Grande Vista 15 CAP,CA,Los Angeles,34.018347,-118.20993100000001,medical,1462 South Grande Vista Ave,4.0,2030,90023,https://weedmaps.com/dispensaries/grande-vista-20-cap,storefront,323-335-8059,,,,,,,,
114,114,56081,Weedmart 30 Cap,CA,Arcadia,34.11051,-118.006864,medical,4430 Live Oak Ave,4.0,2047,91006,https://weedmaps.com/dispensaries/weedmart-30-cap,storefront,626-956-7723,,,,,,,,
115,115,45932,Lights Out Wellness,CA,Rosamond,34.861377000000005,-118.16408,medical,1739 Poplar Street,4.0,2964,93560,https://weedmaps.com/dispensaries/ligthts-out-wellness,storefront,  661-279-5250 ,,,,,,,,
116,116,59410,The Pottery Barn,ca,San Bernardino,34.136368,-117.336548,medical,2130 W Highland Ave,4.0,935,92407,https://weedmaps.com/dispensaries/sb-collective,storefront,951-420-6196,,,,,,,,
117,117,58843,TALLY CANNABIS,CALIFORNIA,AZUSA,34.10719,-117.92478500000001,medical,1150 ARROW HIGHWAY,4.0,334,91702,https://weedmaps.com/dispensaries/tally-cannabis,storefront,626-491-7070,,,,,,,,
119,119,59459,ROLLIN LOUD,Ca,Rowland Heights,33.988597,-117.90366000000002,medical,18405 Colima Rd,4.0,53,91748,https://weedmaps.com/dispensaries/the-joint-la-puente,storefront,(626) 489-9713,,,,,,,,
120,120,61519,Pomona Medz,CA,Pomona,34.062024,-117.75849699999999,medical,570 W Holt Ave.,4.0,56,91768,https://weedmaps.com/dispensaries/pomona-medz,storefront,9093741073,,,,,,,,
121,121,957,TriComb Therapies - Victorville,CA,Victorville,34.471388,-117.29611499999999,medical,,4.0,1919,92395,https://weedmaps.com/deliveries/tricomb-therapies,delivery,(760) 490-6689,,,,,,,,
122,122,9765,The Stash Spot,CA,Apple Valley,34.464859999999994,-117.24276499999999,medical,,4.0,1077,92307,https://weedmaps.com/deliveries/the-stash-spot-2,delivery,7605779102,,,,,,,,
123,123,2650,BudEx Delivery,CA,San Gabriel Valley,34.148639,-118.038595,medical,,4.0,531,91801,https://weedmaps.com/deliveries/budex-4,delivery,626-425-0432,,,,,,,,
124,124,3092,BudEx Delivery - Ontario / Montclair,CA,Ontario,34.063745000000004,-117.6443,medical,,4.0,998,91762,https://weedmaps.com/deliveries/budex-delivery-2-3,delivery,626-425-0432,,,,,,,,
125,125,40107,Peoples Grower - Rancho Cucamonga,CA,Rancho Cucamonga,34.113881,-117.555371,hybrid,,4.0,167,91730,https://weedmaps.com/deliveries/peoples-grower-2,delivery,951-200-2088,,,,,,,,
126,126,434,THRC - The Honor Roll Collective,CA,El Monte,34.085133,-118.019552,medical,,4.0,227,91732,https://weedmaps.com/deliveries/the-honor-roll-tc,delivery,(626) 272-4247,,,,,,,,
127,127,2068,THRC,CA,Pasadena,34.14982,-118.100131,medical,,4.0,106,91107,https://weedmaps.com/deliveries/the-honor-roll-collective-2-2,delivery,(626) 272-4247,,,,,,,,
128,128,41901,Goldleaf Industries,CA,Hesperia,34.422614,-117.30880400000001,medical,,4.0,187,92345,https://weedmaps.com/deliveries/goldleaf-industries-2,delivery,(760) 205-8300,,,,,,,,
129,129,40110,Hello Cannabis,CA,Upland,34.139790000000005,-117.651334,medical,,4.0,144,91784,https://weedmaps.com/deliveries/luckys-health-group-upland-claremont,delivery,951-434-5347,,,,,,,,
130,130,38259,Peoples Grower - Diamond Bar,CA,Diamond Bar,33.974671,-117.83716899999999,hybrid,,4.0,133,91765,https://weedmaps.com/deliveries/peoples-grower,delivery,951-200-2088,,,,,,,,
131,131,23570,Loilty Caregivers,CA,La Puente/West Covina,34.042747999999996,-117.96445700000001,medical,,4.0,348,91744,https://weedmaps.com/deliveries/4-remedies,delivery,6262951638,,,,,,,,
132,132,23043,OG Pharmacy,CA,Chino Hills,34.002992,-117.745974,medical,,4.0,296,91709,https://weedmaps.com/deliveries/og-pharmacy-2-3,delivery,626-991-6909,,,,,,,,
133,133,3347,The Honor Roll Collective,CA,Glendora,34.136058,-117.86546899999999,medical,,4.0,113,91741,https://weedmaps.com/deliveries/the-honor-roll-collective-2-6,delivery,(626) 272-4247,,,,,,,,
134,134,41083,Hello Cannabis,CA,Fontana,34.139523,-117.468773,medical,,4.0,241,92336,https://weedmaps.com/deliveries/luckys-health-group-14,delivery,951-434-5423,,,,,,,,
135,135,20500,So Cal Members,CA,San Dimas,34.106712,-117.79456,medical,,4.0,77,91773,https://weedmaps.com/deliveries/so-cal-members-2,delivery,909-269-6783,,,,,,,,
136,136,3294,The Honor Roll Collective,CA,West Covina,34.068839000000004,-117.938147,medical,,4.0,146,91790,https://weedmaps.com/deliveries/the-honor-roll-collective-2-5,delivery,(626) 272-4247,,,,,,,,
137,137,438,4 Twenty,CA,Rialto,34.106778000000006,-117.370275,medical,,4.0,428,92376,https://weedmaps.com/deliveries/med-vend-upland-delivery-service,delivery,9518008228,,,,,,,,
138,138,42584,At Your Service,CA,Eastvale,33.97546,-117.56694499999999,medical,,5.0,28,92880,https://weedmaps.com/deliveries/at-your-service,delivery,(951) 532-1589,,,,,,,,
139,139,46023,TLG Delivery,CA,Antelope Valley,34.580725,-118.085131,medical,,4.0,23,93550,https://weedmaps.com/deliveries/tlg-delivery,delivery,424-302-6363,,,,,,,,
140,140,26533,KUSHAGRAM,CA,Montebello,34.032945,-118.130023,medical,,4.0,46,90022,https://weedmaps.com/deliveries/kushagram-east-la,delivery,3237391134,,,,,,,,
141,141,57327,Whittier Treehouse,CA,Whittier,33.990579,-118.065524,medical,10608 Whittier Blvd,4.0,1284,90606,https://weedmaps.com/dispensaries/the-church,storefront,1-562-378-9886,,,,,,,,
142,142,60770,Smokin Hot Healing Groups,CA,Covina,34.106105,-117.851881,medical,Call for Address,4.0,1466,91724,https://weedmaps.com/dispensaries/smokin-hot-healing-groups,storefront,626-347-0333,,,,,,,,
143,143,49566,UNDEFEATED 25,CA,Pasadena,34.144443,-118.126922,medical,1136 East Green Street,4.0,1896,91106,https://weedmaps.com/dispensaries/dannk-city,storefront,(626) 638-5478,,,,,,,,
144,144,57086,Azusa Herbal Center,CA,Azusa,34.133765000000004,-117.920277,medical,Text For Address !!!,4.0,753,91702,https://weedmaps.com/dispensaries/herbal-center,storefront,626-818-8239,,,,,,,,
145,145,59673,AFU 30 CAP,CA,Alhambra,34.076856,-118.15480900000001,medical,2837 W Valley Blvd,4.0,152,91803,https://weedmaps.com/dispensaries/alhambra-faith-and-unity,storefront,(626) 703-3129,,,,,,,,
146,146,59646,The Bakery San Bernardino,CA,San Bernardino,34.097161,-117.28936200000001,medical,261 S Arrowhead Ave,4.0,419,92408,https://weedmaps.com/dispensaries/san-bernardino-gas-staion,storefront,(909) 751-6047,,,,,,,,
147,147,60638,House of OG's,California,Los Angeles,34.041383,-118.169009,hybrid,428 North Ford Blvd,4.0,58,90022,https://weedmaps.com/dispensaries/house-of-ogs,storefront,(323) 404-4508,,,,,,,,
148,148,60843,Trees R Us,CA,Arcadia,34.109888,-118.01405700000001,medical,4123 Live Oak Ave,4.0,55,91006,https://weedmaps.com/dispensaries/trees-r-us-2,storefront,626-701-0882,,,,,,,,
149,149,60618,Pomona Church of Tranquility,California,Pomona,34.049263,-117.75021399999999,medical,1135 South Garey,4.0,158,91766,https://weedmaps.com/dispensaries/pomona-church-of-tranquility,storefront,909-723-0864,,,,,,,,
150,150,59893,La Puente Church of Healing & Purity,CA,La Puente,34.005646,-117.900446,medical,18435 E. Valley Blvd,4.0,79,91744,https://weedmaps.com/dispensaries/la-puente-church-of-healing-purity,storefront,626-341-7013,,,,,,,,
151,151,22970,5 Star Delivery,California,Montebello,34.014846,-118.13015700000001,medical,,4.0,1903,90640,https://weedmaps.com/deliveries/caliverde,delivery,323-240-9957,,,,,,,,
152,152,2750,Buddies Med Express,Ca,Covina,34.101637,-117.86053999999999,medical,,4.0,1470,91744,https://weedmaps.com/deliveries/budex-delivery-2-2,delivery,626-238-8784,,,,,,,,
153,153,10987,Green Tree Remedy,CA,Highland Park,34.120531,-118.20109599999999,medical,,4.0,756,90042,https://weedmaps.com/deliveries/exclusive-35-cap-2-3,delivery,323-672-0331,,,,,,,,
154,154,42196,WeedBell Delivery,CA,Jurupa valley,33.992739,-117.505875,medical,,4.0,1177,91752,https://weedmaps.com/deliveries/weedbell-open-late-7,delivery,(909)359-8432,,,,,,,,
155,155,12511,The Stash Spot - Victorville,CA,Victorville,34.471506,-117.32996999999999,medical,,4.0,724,92395,https://weedmaps.com/deliveries/the-stash-spot-2-2,delivery,7605779102,,,,,,,,
156,156,6698,Best Remedy,CA,La verne / San Dimas,34.105195,-117.76839299999999,medical,,4.0,484,91750,https://weedmaps.com/deliveries/best-remedy-2-4,delivery,626-371-5321,,,,,,,,
157,157,14774,Best Remedy,CA,Azusa,34.133534999999995,-117.90003899999999,medical,,4.0,184,91702,https://weedmaps.com/deliveries/best-remedy-2-8,delivery,626-371-5321,,,,,,,,
158,158,591,SGV MED EXPRESS,ca,Anywhere in SGV,34.092115,-118.026367,medical,,4.0,635,91780,https://weedmaps.com/deliveries/sgv-med-express-626-200-3587,delivery,626-200-3587,,,,,,,,
159,159,28921,The Peoples Grower - Chino,CA,Chino,33.997147,-117.715296,hybrid,,4.0,183,91709,https://weedmaps.com/deliveries/the-peoples-grower-3,delivery,951-200-2088,,,,,,,,
160,160,413,The Honor Roll Collective,CA,San Gabriel Valley,34.121857299999995,-118.02485,medical,,4.0,247,91006,https://weedmaps.com/deliveries/the-honor-roll-collective,delivery,(626) 272-4247,,,,,,,,
161,161,39673,Hello Cannabis,CA,Diamond Bar,33.999990999999994,-117.84418400000001,medical,,4.0,93,91789,https://weedmaps.com/deliveries/luckys-health-group-pomona-diamond-bar,delivery,951-434-3928,,,,,,,,
162,162,10484,Green Tree Remedy,CA,Pasadena,34.157819,-118.147997,medical,,4.0,163,91105,https://weedmaps.com/deliveries/exclusive-35-cap-2-2,delivery,323-672-0331,,,,,,,,
163,163,39674,Hello Cannabis,CA,Ontario,34.073941999999995,-117.57176799999999,medical,,4.0,144,91762,https://weedmaps.com/deliveries/luckys-health-group-ontario,delivery,951-318-7716,,,,,,,,
164,164,37302,Green Tree Remedy,Ca,La puente,34.030728,-117.958546,medical,,4.0,139,91744,https://weedmaps.com/deliveries/green-tree-remedy-la-puente,delivery,213-276-0000,,,,,,,,
165,165,40109,Hello Cannabis,CA,Rancho Cucamonga / Alta Loma,34.112945,-117.53715700000001,medical,,4.0,186,91730,https://weedmaps.com/deliveries/luckys-health-group-rancho-cucamonga-alta-loma,delivery,951-434-5423,,,,,,,,
166,166,34642,Green Tree Remedy,CA,Colton,34.08813,-117.36598400000001,medical,,4.0,186,92316,https://weedmaps.com/deliveries/green-tree-remedy-7,delivery,2132760005,,,,,,,,
167,167,15386,The Stash Spot,CA,Hesperia,34.433228,-117.33153999999999,medical,,4.0,74,92345,https://weedmaps.com/deliveries/the-stash-spot-2-3,delivery,7605779102,,,,,,,,
168,168,398,4 Twenty,CA,Fontana,34.106636,-117.44813500000001,medical,,4.0,220,92336,https://weedmaps.com/deliveries/medvend-collective-sc-lab-tested-we-always-answer-our-phone-happy-hour-daily,delivery,9518008228,,,,,,,,
169,169,42227,Peoples Grower - Upland,CA,Upland,34.13,-117.64,hybrid,,4.0,61,91784,https://weedmaps.com/deliveries/peoples-grower-upland,delivery,(951) 200-2088,,,,,,,,
170,170,34774,Foreign Resources,CA,Palmdale,34.574064,-118.098206,medical,,4.0,155,93534,https://weedmaps.com/deliveries/bandit-delivery-service,delivery,4242987145,,,,,,,,
172,172,49363,Hacienda Med Center,CA,Hacienda Heights,34.008373,-117.95668,medical,16044 Gale Avenue,4.0,4940,91745,https://weedmaps.com/dispensaries/hacienda-med-center,storefront,626-433-7446,,,,,,,,
173,173,46852,Green Love,CA,Pasadena,34.169025,-118.111824,medical,1874 E Washington Blvd,4.0,7340,91104,https://weedmaps.com/dispensaries/green-love-2,storefront,(626)314-2522,,,,,,,,
174,174,54283,Holy 7th Heaven,CA,Los Angeles,33.982284,-118.24150300000001,medical,1747 E. Gage Ave.,4.0,579,90001,https://weedmaps.com/dispensaries/7th-heaven,storefront,323-639-3316,,,,,,,,
175,175,50978,BEST OF BUDDHA,CA,Whittier,33.972388,-118.070748,medical,7923 Duchess Drive,4.0,1635,90606,https://weedmaps.com/dispensaries/best-of-the-best,storefront,714-616-2771,,,,,,,,
176,176,49552,Westpoint Medicinal,CA,Covina,34.106355,-117.853974,medical,20504 E Arrow Highway,4.0,3114,91724,https://weedmaps.com/dispensaries/westpoint-medicinal,storefront,626-671-0465,,,,,,,,
177,177,60455,Dank of America,California,San Bernardino,34.127553000000006,-117.27906200000001,medical,1520 N Waterman Ave,4.0,284,92404,https://weedmaps.com/dispensaries/dank-bank-1,storefront,9092189660,,,,,,,,
179,179,59899,Smoke Break,California,Pomona,34.05509,-117.7621,medical,CALL For Address !!!,4.0,648,91766,https://weedmaps.com/dispensaries/smoke-break,storefront,714-350-2586,,,,,,,,
180,180,61325,Casa De Flor,CA,Rosemead,34.048468,-118.097718,medical,1630 Potrero Grande Dr,4.0,49,91770,https://weedmaps.com/dispensaries/casa-de-flor,storefront,(626) 316-8751,,,,,,,,
182,182,61335,Secret Stash,California,East Los Angeles,34.031515999999996,-118.15285700000001,medical,5230 E. Beverly Blvd,3.0,15,90022,https://weedmaps.com/dispensaries/secret-stash-10,storefront,323.840.4895,,,,,,,,
183,183,691,AGC Delivery,CA,Antelope Valley,34.645913,-118.153218,medical,,4.0,609,93534,https://weedmaps.com/deliveries/advanced-genetics-collective,delivery,661-524-0800,,,,,,,,
185,185,6695,Best Remedy,CA,Upland,34.11065,-117.660924,medical,,4.0,633,91786,https://weedmaps.com/deliveries/best-remedy-2-2,delivery,626-371-5321,,,,,,,,
186,186,2683,Buddies Med Express,California,San Gabriel Valley,34.072003,-118.07151100000002,medical,,4.0,720,91016,https://weedmaps.com/deliveries/buddies-med-express-2-3,delivery,626-238-8784,,,,,,,,
187,187,14778,Buddies Med Express,CA,Chino,33.997269,-117.689107,medical,,4.0,444,91709,https://weedmaps.com/deliveries/buddies-med-exress-2,delivery,626-238-8784,,,,,,,,
188,188,6762,Mellow Martian - Azusa/Covina,CA,Azusa,34.121021,-117.900405,medical,,4.0,415,91702,https://weedmaps.com/deliveries/mellow-martian-2,delivery,626-720-9344,,,,,,,,
189,189,30700,Healing Leaf Village,CA,Rialto,34.098526,-117.370245,medical,,4.0,219,92376,https://weedmaps.com/deliveries/healing-leaf-village,delivery,951-437-5363,,,,,,,,
190,190,12320,SGV MED EXPRESS,Ca,San Dimas,34.101821,-117.819878,medical,,4.0,165,91733,https://weedmaps.com/deliveries/sgv-med-express-2-3,delivery,626-200-3587,,,,,,,,
191,191,801,100% Delivery,CA,Hesperia,34.412309,-117.34634199999999,medical,,4.0,434,92345,https://weedmaps.com/deliveries/100-delivery,delivery,760-981-5913,,,,,,,,
192,192,15966,Greencross 40 CAP,CA,Victorville,34.470763,-117.31267199999999,medical,,4.0,555,92392,https://weedmaps.com/deliveries/greencross-40-cap,delivery,760-998-8280 ,,,,,,,,
193,193,34644,Green Tree Remedy,CA,San Bernardino,34.091935,-117.304478,medical,,4.0,292,92410,https://weedmaps.com/deliveries/green-tree-remedy-9,delivery,2132760005,,,,,,,,
194,194,1988,4 Twenty,CA,Rancho Cucamonga,34.109986,-117.587216,medical,,4.0,150,91730,https://weedmaps.com/deliveries/og-world,delivery,9518008228,,,,,,,,
195,195,29070,OG Pharmacy,CA,Pomona,34.047633000000005,-117.810221,medical,,4.0,107,91768,https://weedmaps.com/deliveries/og-pharmacy-pomona,delivery,9094564169,,,,,,,,
196,196,44537,Rolling Up,ca,arcadia,34.13024,-118.02526599999999,medical,,4.0,51,91006,https://weedmaps.com/deliveries/rolling-up-arcadia,delivery,(213) 369-6907,,,,,,,,
197,197,10559,4 Twenty,CA,Ontario,34.066387,-117.658933,medical,,4.0,47,91762,https://weedmaps.com/deliveries/4-twenty,delivery,9518008228,,,,,,,,
198,198,25099,SKY HIGH HOLISTIC DELIVERY,CA,Pasadena,34.124646999999996,-118.136649,medical,,5.0,4,91001,https://weedmaps.com/deliveries/sky-high-holistic-delivery-13,delivery,(626) 423-7246,,,,,,,,
199,199,15931,Rolling Up,CA,West Covina,34.068839000000004,-117.92819540000002,medical,,5.0,3,91793,https://weedmaps.com/deliveries/rolling-up,delivery,(213) 999-2786,,,,,,,,
200,200,25104,SKY HIGH HOLISTIC DELIVERY,CA,La Puente,34.018335,-117.942966,medical,,2.0,7,91744,https://weedmaps.com/deliveries/sky-high-holistic-delivery-18,delivery,(626) 423-7246,,,,,,,,
201,201,23646,CALI RELEAF CHURCH OF MIEN TAO,CA,Alhambra,34.090276,-118.123625,medical,425 S Garfield Ave,4.0,9055,91801,https://weedmaps.com/dispensaries/calireleafcaregivers,storefront,6264180561,,,,,,,,
202,202,54036,HHC,CA,La Puente,34.023771,-117.91751599999999,medical,346 N Azusa,4.0,2403,91744,https://weedmaps.com/dispensaries/hhc-3,storefront,(626)474-7476,,,,,,,,
203,203,50682,OMG,CA,San Bernardino,34.107147999999995,-117.34693,medical,2618 E Foothill Blvd Unit C,4.0,7995,92410,https://weedmaps.com/dispensaries/omg-2-4,storefront,909-586-1806,,,,,,,,
204,204,56737,The Lit Corner,CA,Santa Fe Springs,33.992049,-118.067923,medical,10418 Whittier Blvd,4.0,971,90606,https://weedmaps.com/dispensaries/the-lit-corner,storefront,562-454-2471,,,,,,,,
205,205,11519,Organic Health Solutions,CA,Rosamond,34.864816,-118.154311,medical,1315 W. Rosamond Blvd Suite 1A,4.0,1005,93560,https://weedmaps.com/dispensaries/organic-health-solutions,storefront,661-256-0220,,,,,,,,
206,206,55966,PMG,CA,Pasadena,34.149861,-118.125877,hybrid,1191 E. Walnut St.,4.0,420,91106,https://weedmaps.com/dispensaries/pm-group,storefront,818-406-9086,,,,,,,,
207,207,59175,Santa Fe Greens Bogo House,CA,Huntington Park,33.973071000000004,-118.23064199999999,medical,7327 Santa Fe Ave,4.0,517,90255,https://weedmaps.com/dispensaries/sante-fe-greens,storefront,562-632-2913,,,,,,,,
212,212,20861,Flavors Collective - Porterville,CA,porterville,36.065158000000004,-119.016378,medical,,4.0,197,93257,https://weedmaps.com/deliveries/flavors-collective-2,delivery,559-586-1952,,,,,,,,
213,213,36088,The Chronic inc.,CA,Porterville,36.065948,-119.052324,medical,,4.0,150,93257,https://weedmaps.com/deliveries/the-chronic-inc,delivery,5594835405,,,,,,,,
214,214,42167,Exotics Express,California,Porterville,36.080604,-119.04398,medical,,4.0,27,93257,https://weedmaps.com/deliveries/exotics-express,delivery,(559) 920-6882,,,,,,,,
215,215,45517,The Stimulater Express - Porterville,CA,Porterville,36.069655,-119.03055,medical,,4.0,2,93257,https://weedmaps.com/deliveries/the-stimulater-express-porterville-1,delivery,559-341-7308,,,,,,,,
218,218,23133,Desert Farmacy,CA,Indio,33.724548,-116.230152,medical,,4.0,83,92201,https://weedmaps.com/deliveries/desert-farmacy,delivery,(760)641-6548,,,,,,,,
219,219,61088,Prime,CA,Thermal,33.639831,-116.139201,medical,56295 Grapefruit Blvd.,4.0,38,92274,https://weedmaps.com/dispensaries/prime-2,storefront,323-910-6358,,,,,,,,
220,220,9404,Mojave Med,CA,New Inventory!!,34.135477,-116.08979599999999,medical,,4.0,234,92277,https://weedmaps.com/deliveries/concentrates-and-kind,delivery,760-620-8783,,,,,,,,
221,221,35731,Coachella Valley GREENS,CA,Coachella,33.678251,-116.233972,medical,,4.0,78,92201,https://weedmaps.com/deliveries/coachella-valley-greens-2,delivery,442-235-9872,,,2839202313,,,,,
222,222,33378,G's Finest,CA,Indio,33.685486,-116.199083,medical,,4.0,162,92236,https://weedmaps.com/deliveries/g-s-finest,delivery,760-600-6593,,,,,,,,
223,223,46376,Green Dragon Caregivers,CA,Indio,33.717859000000004,-116.21467700000001,medical,,0.0,0,92201,https://weedmaps.com/deliveries/green-dragon-caregivers-6,delivery,,,,,,,,,
