id,name,state,city_x,latitude,longitude,license_type,address,rating,reviews_count,zip_code_x,web_url,retailer_services,phone_x,email_x,website_x,adult_use_cultivation,adult_use_nonstorefront,adult_use_retail,distributor,medical_cultivation,medical_nonstorefront,medical_retail,microbusiness,date_scraped,License Number,License Type,Business Owner,Business Contact Information,Business Structure,Premise Address,Status,Issue Date,Expiration Date,Activities,Adult-Use/Medicinal,zip_code_y,city_y,email_y,website_y,company_name,phone_y,License_no_dash
3024,ganjarunner,CA,San Francisco,37.796826,-122.430393,hybrid,,4.96048109965636,194,94123,https://weedmaps.com/deliveries/ganjarunner,delivery,855-554-2652,contact@ganjarunner.com,ganjarunner.com/,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
42607,ganjarunner,CA,Pasadena,34.145358,-118.141447,hybrid,,5.0,2,91101,https://weedmaps.com/deliveries/ganjarunner-1,delivery,(855) 554-2652,contact@ganjarunner.com,www.ganjarunner.com,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
45626,ganjarunner,CA,Modesto,37.650967,-120.99378600000001,hybrid,,5.0,3,95354,https://weedmaps.com/deliveries/ganjarunner-20,delivery,855-554-2652,contact@ganjarunner.com,ganjarunner.com/,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
45627,ganjarunner,CA,Merced,37.310758,-120.48890300000001,hybrid,,3.0,2,95340,https://weedmaps.com/deliveries/ganjarunner-21,delivery,855-554-2652,contact@ganjarunner.com,ganjarunner.com/,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
41863,ganjarunner,CA,Fresno,36.852084000000005,-119.74778799999999,hybrid,,4.55,20,93720,https://weedmaps.com/deliveries/ganjarunner-14,delivery,(855) 554-2652,contact@ganjarunner.com,ganjarunner.com,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
46358,ganjarunner,CA,Oakland,37.792479,-122.23191200000001,hybrid,,0.0,0,94606,https://weedmaps.com/deliveries/ganjarunner-24,delivery,855-554-2652,contact@ganjarunner.com,ganjarunner.com/,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
46360,ganjarunner,CA,Union City,37.589727,-122.06963400000001,hybrid,,3.0,1,94587,https://weedmaps.com/deliveries/ganjarunner-26,delivery,855-554-2652,contact@ganjarunner.com,ganjarunner.com/,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
45628,ganjarunner,CA,Stockton,37.963289,-121.31994399999999,hybrid,,5.0,4,95203,https://weedmaps.com/deliveries/ganjarunner-22,delivery,855-554-2652,contact@ganjarunner.com,ganjarunner.com/,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
41861,ganjarunner,CA,citrus heights,38.704817999999996,-121.28018700000001,hybrid,,4.0,4,95112,https://weedmaps.com/deliveries/ganjarunner-12,delivery,(855) 554-2652,contact@ganjarunner.com,ganjarunner.com,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
46357,ganjarunner,CA,Yuba City,39.130363,-121.608997,hybrid,,0.0,0,95991,https://weedmaps.com/deliveries/ganjarunner-23,delivery,855-554-2652,contact@ganjarunner.com,ganjarunner.com/,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
41859,ganjarunner,CA,Sacramento,38.565922,-121.47861599999999,hybrid,,5.0,12,95816,https://weedmaps.com/deliveries/ganjarunner-10,delivery,(855) 554-2652,contact@ganjarunner.com,ganjarunner.com,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
41862,ganjarunner,CA,Chico,39.723265000000005,-121.845422,hybrid,,4.57142857142857,14,95928,https://weedmaps.com/deliveries/ganjarunner-13,delivery,(855) 554-2652,contact@ganjarunner.com,ganjarunner.com,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
41860,ganjarunner,CA,Burbank,34.173491999999996,-118.31647,hybrid,,1.0,1,91505,https://weedmaps.com/deliveries/ganjarunner-11,delivery,(855) 554-2652,contact@ganjarunner.com,ganjarunner.com,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
42610,ganjarunner,CA,Hollywood,34.105236,-118.33213300000001,hybrid,,5.0,2,90028,https://weedmaps.com/deliveries/ganjarunner-4,delivery,(855) 554-2652,contact@ganjarunner.com,www.ganjarunner.com,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
42608,ganjarunner,CA,Glendale,34.133538,-118.254949,hybrid,,5.0,6,91204,https://weedmaps.com/deliveries/ganjarunner-3095d40c-1cf1-4f17-ba5a-7cff7a940679,delivery,(855) 554-2652,contact@ganjarunner.com,www.ganjarunner.com,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
41858,ganjarunner,CA,Santa Monica,34.025779,-118.49108600000001,hybrid,,3.0,2,90291,https://weedmaps.com/deliveries/ganjarunner-9,delivery,(855) 554-2652,contact@ganjarunner.com,ganjarunner.com,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
46362,ganjarunner,CA,Los Angeles,34.046054,-118.247596,hybrid,,0.0,0,90013,https://weedmaps.com/deliveries/ganjarunner-28,delivery,855-554-2652,contact@ganjarunner.com,ganjarunner.com/,,A9180000090TEMP,,,,,,,2019-03,A9180000090TEMP,Cannabis - Retailer Nonstorefront Temporary License,Carla Baumgartner,"GANJARUNNER, INC. : Email- carla@ganjarunner.com : Phone- 8555542652 : Website- www.ganjarunner.com",Corporation,"SACRAMENTO, CA 95828 County: SACRAMENTO",Active,08/10/2019,04/17/2018,N/A for this license type,BOTH,95828,sacramento,carla@ganjarunner.com,www.ganjarunner.com,"ganjarunner, inc.",8555542652.0,A9180000090TEMP
24652,Budee,CA,Santa Rosa,38.436663,-122.71236100000002,hybrid,,2.5166666666666697,12,95404,https://weedmaps.com/deliveries/budee-45,delivery,925-953-2850,contact@budee.org,www.budee.org,,A9180000075TEMP,,,,A9180000075TEMP,,,2019-03,A9180000075TEMP,Cannabis - Retailer Nonstorefront Temporary License,Salvador Villanueva III,"BUDEE, INC. : Email- sal@budee.org : Phone- 8053044935 : Website- www.budee.org",Corporation,"OAKLAND, CA 94612 County: ALAMEDA ",Active,07/14/2019,03/21/2018,N/A for this license type,BOTH,94612,oakland,sal@budee.org,www.budee.org,"budee, inc.",8053044935.0,A9180000075TEMP
24651,Budee,CA,Petaluma,38.258176,-122.641705,hybrid,,2.48235294117647,17,94954,https://weedmaps.com/deliveries/budee-44,delivery,925-953-2850,contact@budee.org,www.budee.org,,A9180000075TEMP,,,,A9180000075TEMP,,,2019-03,A9180000075TEMP,Cannabis - Retailer Nonstorefront Temporary License,Salvador Villanueva III,"BUDEE, INC. : Email- sal@budee.org : Phone- 8053044935 : Website- www.budee.org",Corporation,"OAKLAND, CA 94612 County: ALAMEDA ",Active,07/14/2019,03/21/2018,N/A for this license type,BOTH,94612,oakland,sal@budee.org,www.budee.org,"budee, inc.",8053044935.0,A9180000075TEMP
24653,Budee,CA,Napa,38.296533000000004,-122.29351000000001,hybrid,,2.3076923076923097,13,94559,https://weedmaps.com/deliveries/budee-46,delivery,925-953-2850,contact@budee.org,www.budee.org,,A9180000075TEMP,,,,A9180000075TEMP,,,2019-03,A9180000075TEMP,Cannabis - Retailer Nonstorefront Temporary License,Salvador Villanueva III,"BUDEE, INC. : Email- sal@budee.org : Phone- 8053044935 : Website- www.budee.org",Corporation,"OAKLAND, CA 94612 County: ALAMEDA ",Active,07/14/2019,03/21/2018,N/A for this license type,BOTH,94612,oakland,sal@budee.org,www.budee.org,"budee, inc.",8053044935.0,A9180000075TEMP
24645,Budee,CA,Vallejo,38.097172,-122.25480400000001,hybrid,,1.72,10,94590,https://weedmaps.com/deliveries/budee-38,delivery,925-953-2850,contact@budee.org,www.budee.org,,A9180000075TEMP,,,,A9180000075TEMP,,,2019-03,A9180000075TEMP,Cannabis - Retailer Nonstorefront Temporary License,Salvador Villanueva III,"BUDEE, INC. : Email- sal@budee.org : Phone- 8053044935 : Website- www.budee.org",Corporation,"OAKLAND, CA 94612 County: ALAMEDA ",Active,07/14/2019,03/21/2018,N/A for this license type,BOTH,94612,oakland,sal@budee.org,www.budee.org,"budee, inc.",8053044935.0,A9180000075TEMP
24649,Budee,CA,San Rafeal,37.953494,-122.54016999999999,hybrid,,2.6666666666666696,15,94904,https://weedmaps.com/deliveries/budee-42,delivery,925-953-2850,contact@budee.org,www.budee.org,,A9180000075TEMP,,,,A9180000075TEMP,,,2019-03,A9180000075TEMP,Cannabis - Retailer Nonstorefront Temporary License,Salvador Villanueva III,"BUDEE, INC. : Email- sal@budee.org : Phone- 8053044935 : Website- www.budee.org",Corporation,"OAKLAND, CA 94612 County: ALAMEDA ",Active,07/14/2019,03/21/2018,N/A for this license type,BOTH,94612,oakland,sal@budee.org,www.budee.org,"budee, inc.",8053044935.0,A9180000075TEMP
24650,Budee,CA,Mill Valley,37.888532,-122.53006,hybrid,,2.6222222222222205,9,94941,https://weedmaps.com/deliveries/budee-43,delivery,925-953-2850,contact@budee.org,www.budee.org,,A9180000075TEMP,,,,A9180000075TEMP,,,2019-03,A9180000075TEMP,Cannabis - Retailer Nonstorefront Temporary License,Salvador Villanueva III,"BUDEE, INC. : Email- sal@budee.org : Phone- 8053044935 : Website- www.budee.org",Corporation,"OAKLAND, CA 94612 County: ALAMEDA ",Active,07/14/2019,03/21/2018,N/A for this license type,BOTH,94612,oakland,sal@budee.org,www.budee.org,"budee, inc.",8053044935.0,A9180000075TEMP
24643,Budee,CA,San Pablo,37.949835,-122.34748,hybrid,,2.31428571428571,7,94804,https://weedmaps.com/deliveries/budee-36,delivery,925-953-2850,contact@budee.org,www.budee.org,,A9180000075TEMP,,,,A9180000075TEMP,,,2019-03,A9180000075TEMP,Cannabis - Retailer Nonstorefront Temporary License,Salvador Villanueva III,"BUDEE, INC. : Email- sal@budee.org : Phone- 8053044935 : Website- www.budee.org",Corporation,"OAKLAND, CA 94612 County: ALAMEDA ",Active,07/14/2019,03/21/2018,N/A for this license type,BOTH,94612,oakland,sal@budee.org,www.budee.org,"budee, inc.",8053044935.0,A9180000075TEMP
24642,Budee,CA,Oakland,37.829197,-122.264431,hybrid,,2.28571428571429,7,94609,https://weedmaps.com/deliveries/budee-35,delivery,925-953-2850,contact@budee.org,www.budee.org,,A9180000075TEMP,,,,A9180000075TEMP,,,2019-03,A9180000075TEMP,Cannabis - Retailer Nonstorefront Temporary License,Salvador Villanueva III,"BUDEE, INC. : Email- sal@budee.org : Phone- 8053044935 : Website- www.budee.org",Corporation,"OAKLAND, CA 94612 County: ALAMEDA ",Active,07/14/2019,03/21/2018,N/A for this license type,BOTH,94612,oakland,sal@budee.org,www.budee.org,"budee, inc.",8053044935.0,A9180000075TEMP
24641,Budee,CA,Berkeley,37.885825,-122.268824,hybrid,,1.6,8,94709,https://weedmaps.com/deliveries/budee-34,delivery,925-953-2850,contact@budee.org,www.budee.org,,A9180000075TEMP,,,,A9180000075TEMP,,,2019-03,A9180000075TEMP,Cannabis - Retailer Nonstorefront Temporary License,Salvador Villanueva III,"BUDEE, INC. : Email- sal@budee.org : Phone- 8053044935 : Website- www.budee.org",Corporation,"OAKLAND, CA 94612 County: ALAMEDA ",Active,07/14/2019,03/21/2018,N/A for this license type,BOTH,94612,oakland,sal@budee.org,www.budee.org,"budee, inc.",8053044935.0,A9180000075TEMP
7482,Budee,CA,San Francisco,37.747824,-122.495272,hybrid,,2.68,5,94116,https://weedmaps.com/deliveries/budee-2-7,delivery,(925)953-2850,contact@budee.org,www.budee.org,,A9180000075TEMP,,,,A9180000075TEMP,,,2019-03,A9180000075TEMP,Cannabis - Retailer Nonstorefront Temporary License,Salvador Villanueva III,"BUDEE, INC. : Email- sal@budee.org : Phone- 8053044935 : Website- www.budee.org",Corporation,"OAKLAND, CA 94612 County: ALAMEDA ",Active,07/14/2019,03/21/2018,N/A for this license type,BOTH,94612,oakland,sal@budee.org,www.budee.org,"budee, inc.",8053044935.0,A9180000075TEMP
7478,Budee,CA,San Francisco,37.714914,-122.485052,hybrid,,3.625,8,94132,https://weedmaps.com/deliveries/budee-2-4,delivery,9259532850,contact@budee.org,www.budee.org,,A9180000075TEMP,,,,A9180000075TEMP,,,2019-03,A9180000075TEMP,Cannabis - Retailer Nonstorefront Temporary License,Salvador Villanueva III,"BUDEE, INC. : Email- sal@budee.org : Phone- 8053044935 : Website- www.budee.org",Corporation,"OAKLAND, CA 94612 County: ALAMEDA ",Active,07/14/2019,03/21/2018,N/A for this license type,BOTH,94612,oakland,sal@budee.org,www.budee.org,"budee, inc.",8053044935.0,A9180000075TEMP
7487,Budee,CA,San Francisco,37.773812,-122.411652,hybrid,,2.94666666666667,15,94103,https://weedmaps.com/deliveries/budee-2-12,delivery,9259532850,contact@budee.org,www.budee.org,,A9180000075TEMP,,,,A9180000075TEMP,,,2019-03,A9180000075TEMP,Cannabis - Retailer Nonstorefront Temporary License,Salvador Villanueva III,"BUDEE, INC. : Email- sal@budee.org : Phone- 8053044935 : Website- www.budee.org",Corporation,"OAKLAND, CA 94612 County: ALAMEDA ",Active,07/14/2019,03/21/2018,N/A for this license type,BOTH,94612,oakland,sal@budee.org,www.budee.org,"budee, inc.",8053044935.0,A9180000075TEMP
7490,Budee,CA,San Francisco,37.786457,-122.45343999999999,hybrid,,2.85454545454545,11,94118,https://weedmaps.com/deliveries/budee-2-14,delivery,(925)953-2850,contact@budee.org,www.budee.org,,A9180000075TEMP,,,,A9180000075TEMP,,,2019-03,A9180000075TEMP,Cannabis - Retailer Nonstorefront Temporary License,Salvador Villanueva III,"BUDEE, INC. : Email- sal@budee.org : Phone- 8053044935 : Website- www.budee.org",Corporation,"OAKLAND, CA 94612 County: ALAMEDA ",Active,07/14/2019,03/21/2018,N/A for this license type,BOTH,94612,oakland,sal@budee.org,www.budee.org,"budee, inc.",8053044935.0,A9180000075TEMP
